title,question,response,ground_truth
SciREX: A Challenge Dataset for Document-Level Information Extraction,What challenges and gaps were revealed through evaluation of the baseline model?,"Two challenges/gaps were revealed. Firstly, the baseline models outperformed at least one participating system (often more), despite being unsophisticated. Secondly, the baseline methods did not utilize training data, while the participating methods may have been overfitted to the training data.","Evaluation revealed a substantial performance gap between the baseline model and human annotators, especially in identifying document-level relations and evidence. This underscores the complexity of the task and the need for more advanced models capable of long-range context understanding."
End-to-end Neural Coreference Resolution,What is the primary characteristic of the neural coreference resolution model introduced in the paper?,End-to-end,The model is the first end-to-end neural coreference resolution model that does not rely on syntactic parsers or hand-engineered mention detectors.
End-to-end Neural Coreference Resolution,How does the model handle span selection to manage computational complexity?,"The model handles span selection through aggressive pruning of spans that are unlikely to belong to a coreference cluster according to the mention score sm(i), enabled by the factoring of the pairwise coreference score.","The model considers spans up to length L, keeps the top λT spans based on mention scores, and limits antecedents to K per span, enforcing non-crossing structures."
End-to-end Neural Coreference Resolution,What methods are used to compute span embeddings in the model?,"Bi-directional LSTMs from word, character and ELMo embeddings.",Span embeddings are computed using boundary representations and attention-based head word features.
End-to-end Neural Coreference Resolution,How does the model learn mention detection and clustering?,"The model uses a two-level BERT+BiLSTM method to get token representations, which are then passed to a CRF layer to identify mentions. Mention clustering is performed using agglomerative hierarchical clustering on pairwise coreference scores.",The model jointly learns mention detection and clustering by maximizing the likelihood of gold coreference links.
End-to-end Neural Coreference Resolution,What are some of the strengths and weaknesses of the model as discussed in the paper?,One strength is that having partially relevant negative samples in the training dataset gives the model higher discriminative power.,Strengths include attention mechanisms aligning with syntactic heads and handling complex noun phrases; weaknesses involve false positives due to word similarity and lack of world knowledge.
CLPsych 2018 Shared Task: Predicting Current and Future Psychological Health from Childhood Essays,What is the primary focus of the shared task discussed in the paper?,Coreference resolution.,The shared task focuses on using language-based assessments to predict psychological and mental health outcomes over time.
CLPsych 2018 Shared Task: Predicting Current and Future Psychological Health from Childhood Essays,Which models were primarily used by participants in the study to predict mental health scores?,Generative models.,"Participants used various models, primarily regularized linear regression, neural networks, and ensemble methods, with top systems often combining multiple techniques."
CLPsych 2018 Shared Task: Predicting Current and Future Psychological Health from Childhood Essays,What evaluation metrics were employed to assess the performance of the models?,"Precision (p), recall (r), and their harmonic average F.","Evaluation metrics include disattenuated Pearson correlations and mean absolute error, accounting for measurement reliability."
CLPsych 2018 Shared Task: Predicting Current and Future Psychological Health from Childhood Essays,How did the baseline models differ from the participant systems in terms of features?,They utilized training data.,"The baseline models relied on simple unigrams and demographic controls, but most participant systems outperformed these baselines."
CLPsych 2018 Shared Task: Predicting Current and Future Psychological Health from Childhood Essays,What additional methods were used to evaluate the quality of generated essays in the study?,Embedding Similarity score.,"Additional evaluation involved comparing generated essays to actual ones using BLEU scores and semantic similarity measures, though these metrics have limitations."
DSTC7 Task 1: Noetic End-to-End Response Selection,What are the primary neural models used by teams in the shared task for dialogue systems as discussed in the paper?,"Enhanced LSTM model (ESIM), Convolutional Neural Networks, Memory Networks, the Transformer, Attention, and Recurrent Neural Network variants.","The primary neural models used include Enhanced LSTM (ESIM), Transformers, Memory Networks, CNNs, and models incorporating contextual embeddings like ELMo."
DSTC7 Task 1: Noetic End-to-End Response Selection,How do the models evaluated in the paper measure their performance in the dialogue system shared task?,They use evaluation metrics.,"Performance was evaluated using metrics such as Recall@N, MRR, and MAP across multiple subtasks and datasets, including Ubuntu and Advising dialogues."
DSTC7 Task 1: Noetic End-to-End Response Selection,What are some of the external data sources incorporated into the neural dialogue models described in the paper?,Pre-trained embeddings that were publicly available prior to the release of the data.,"External data sources include Ubuntu man pages, advising information, and other domain-specific datasets."
DSTC7 Task 1: Noetic End-to-End Response Selection,What are the main challenges identified in the shared task for neural dialogue models?,"The main challenges identified in the shared task for neural dialogue models include (1) increasing the number of candidates, (2) including paraphrases, and (3) not including a correct option in the candidate set.",The main challenges include handling large candidate sets and domain generalization.
DSTC7 Task 1: Noetic End-to-End Response Selection,What is the overarching goal of the shared task as outlined in the paper?,"To improve the performance of downstream tasks such as information extraction by successfully resolving coreference, which would add over 106,000 additional concept annotations to the CRAFT corpus.","The task aims to foster development of more realistic, challenging dialogue systems, with datasets and baselines publicly available for future research."
Named Entity Recognition on Code-Switched Data: Overview of the CALCS 2018 Shared Task,What are the primary challenges faced in Named Entity Recognition (NER) for code-switched social media data as discussed in the paper?,"Code-switching phenomenon, diversity of entities, and social media challenges.","The primary challenges include the informal and heterogeneous nature of social media text, the presence of code-switching, social media noise, data imbalance, and the difficulty of accurately identifying entities across closely related language variants like Modern Standard Arabic and Egyptian dialect."
Named Entity Recognition on Code-Switched Data: Overview of the CALCS 2018 Shared Task,"What datasets were created and annotated for the purpose of NER in the study, and what languages do they focus on?","CoNLL-2002 and 2003 datasets. They were created from newswire articles in four different languages (Spanish, Dutch, English, and German) and focused on 4 entity types: PER (Person), ORG (Organization), LOC (Location), and MISC (Miscellaneous).","The datasets were created and annotated for NER in code-switched social media data focusing on Arabic-Egyptian and English-Spanish language pairs, with careful annotation using crowdsourcing and validation."
Named Entity Recognition on Code-Switched Data: Overview of the CALCS 2018 Shared Task,"Which types of models were employed in the systems summarized in the paper, and what was the general outcome of their performance?","TDMS-IE; The general outcome of their performance was that adding more information (e.g., Experimental Setup, Table Information) generally improved the model's performance.","The systems employed neural models such as bidirectional LSTM combined with Conditional Random Fields (CRF), as well as traditional models. The results showed that NER performance remains challenging in social media contexts, especially for closely related language variants."
Named Entity Recognition on Code-Switched Data: Overview of the CALCS 2018 Shared Task,What was the main objective of the CALCS 2018 shared task as described in the paper?,Named Entity Recognition on Code-Switched Data.,"The main objective was to develop models to identify 9 entity types (e.g., person, organization, location, etc.) in Twitter data containing code-switched language pairs (English-Spanish and Modern Standard Arabic-Egyptian), providing a benchmark for future research in multilingual, code-switched NER."
Named Entity Recognition on Code-Switched Data: Overview of the CALCS 2018 Shared Task,"According to the paper, what are the key factors that contribute to the difficulty of NER in noisy, social media, and code-switched data?",Code-switching behavior.,"The key factors include data noise, domain variation, code-switching, and the complexity of multilingual data, which cause most approaches to achieve lower scores than monolingual text."
UnImplicit Shared Task Report: Detecting Clarification Requirements in Instructional Text,What is the primary focus of the shared task discussed in the paper?,Coreference resolution.,"The primary focus of the shared task is predicting when clarifications are needed in text, specifically classifying sentences as requiring or not requiring clarification based on revision histories."
UnImplicit Shared Task Report: Detecting Clarification Requirements in Instructional Text,Which types of revision differences are highlighted as potentially influencing the results between in-domain and out-of-domain data?,Revision type distributions.,Differences in revision types such as insertions of modifiers or complements are highlighted as potentially influencing the results.
UnImplicit Shared Task Report: Detecting Clarification Requirements in Instructional Text,What approaches did participants use to identify clarification needs in the study?,"Participants used various machine learning models, including logistic regression with uni-grams, bi-grams, and sentence length as features.",Participants used approaches like identifying pronouns requiring revision and leveraging sentence label distributions.
UnImplicit Shared Task Report: Detecting Clarification Requirements in Instructional Text,What was the top accuracy achieved by transformer-based models in the shared task?,68.8%,Transformer-based models achieved a top accuracy of 68.4%.
UnImplicit Shared Task Report: Detecting Clarification Requirements in Instructional Text,What are some of the challenges identified in predicting clarification needs according to the paper?,"Low performance on out-of-domain data, with results not exceeding the accuracy of a logistic regression classifier.","Challenges include predicting subtle, context-specific edits and understanding what constitutes a necessary revision."
SemEval-2021 Task 5: Toxic Spans Detection,What is the definition of a toxic span as introduced in the paper?,"A toxic span is defined as a maximal sequence of contiguous toxic character-offsets, where a character offset is considered toxic if the majority of raters included it in their toxic spans.","A toxic span is defined as a sequence of words that attribute to the post’s toxicity, with gold labels provided at the character level counting from zero."
SemEval-2021 Task 5: Toxic Spans Detection,What is the architecture of BENCHMARK I described in the paper?,"Random baseline and logistic regression classifier that makes use of uni-grams, bi-grams and sentence length as features.","BENCHMARK I is based on a RoBERTa model fine-tuned to predict if a post is toxic or not, and further fine-tuned to predict toxic spans by using a CRF layer on top."
SemEval-2021 Task 5: Toxic Spans Detection,What is the architecture of BENCHMARK II described in the paper?,BENCHMARK II is a high-precision classifier.,"BENCHMARK II is a lexicon-based system that extracts likely toxic words from the training data and tags them during inference, using a lexicon of words that frequently appear inside toxic spans and not outside."
SemEval-2021 Task 5: Toxic Spans Detection,What is the official evaluation measure used in the task?,Accuracy,"The official evaluation measure is the macro-averaged F1 score computed on character offsets between predicted and ground truth toxic spans, assigning a perfect score when both are empty and zero otherwise."
SemEval-2021 Task 5: Toxic Spans Detection,What are the main challenges in detecting long toxic spans as discussed in the paper?,"Long toxic spans are rather context-dependent and more challenging to detect, as they do not comprise common cuss or clearly abusive words that can be directly classified as toxic.","Long toxic spans are more likely context-dependent and less frequent in the dataset compared to single-word spans, making their detection a challenge."
The CoNLL-2014 Shared Task on Grammatical Error Correction,What is the primary goal of the CoNLL-2014 shared task?,To evaluate algorithms and systems for automatically detecting and correcting grammatical errors.,The goal of the CoNLL-2014 shared task is to evaluate algorithms and systems for automatically detecting and correcting grammatical errors present in English essays written by second language learners of English.
The CoNLL-2014 Shared Task on Grammatical Error Correction,What key change was made to the evaluation metric in CoNLL-2014 compared to CoNLL-2013?,Alternative answers were added.,"The evaluation metric was changed from F1 to F0.5, to emphasize precision over recall."
The CoNLL-2014 Shared Task on Grammatical Error Correction,What is the MaxMatch (M2) scorer used for in the shared task?,It efficiently searches for a set of system edits that maximally matches the set of gold-standard edits specified by an annotator.,The MaxMatch (M2) scorer efficiently searches for a set of system edits that maximally matches the set of gold-standard edits specified by an annotator.
The CoNLL-2014 Shared Task on Grammatical Error Correction,What is one of the most popular approaches used by participating teams to correct all error types?,Language Model (LM) based approach.,"One of the most popular approaches to nonspecific error type correction was the Language Model (LM) based approach, where the probability of a learner n-gram is compared with the probability of a candidate corrected n-gram, and if the difference is greater than some threshold, an error was perceived to have been detected and a higher scoring replacement n-gram could be suggested."
The CoNLL-2014 Shared Task on Grammatical Error Correction,Why does the CoNLL-2014 shared task include all 28 error types instead of focusing on just a few?,No information is provided in the given snippet to answer this question.,"It was felt that the community is now ready to deal with all error types, and including all 28 error types increases the complexity of the task by introducing a greater chance of encountering multiple, interacting errors in a sentence."
End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,What is the main contribution of the paper in terms of sequence labeling systems?,Proposing a novel neural network architecture for linguistic sequence labeling.,"The paper introduces a novel neural network architecture that benefits from both word- and character-level representations automatically, by using a combination of bidirectional LSTM, CNN and CRF. The system is truly end-to-end, requiring no feature engineering or data preprocessing, making it applicable to a wide range of sequence labeling tasks."
End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,How does the proposed CNN extract character-level representations?,"It uses only character embeddings as inputs to CNN, without character type features.","The CNN extracts morphological information (like the prefix or suffix of a word) from characters of words and encodes it into neural representations. The CNN uses only character embeddings as inputs, without character type features, and a dropout layer is applied before character embeddings are input to the CNN."
End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,What is the purpose of using a Bi-directional LSTM (BLSTM) in the architecture?,To capture both past and future information in sequence labeling tasks.,"The purpose of using a BLSTM is to have access to both past (left) and future (right) contexts in sequence labeling tasks. BLSTM presents each sequence forwards and backwards to two separate hidden states to capture past and future information, respectively, and then concatenates the two hidden states to form the final output."
End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,Why is a Conditional Random Field (CRF) layer added on top of the BLSTM output?,To jointly decode the best label sequence.,"A CRF layer is added to model label sequences jointly and consider correlations between labels in neighborhoods, rather than decoding each label independently. This allows the system to decode the best chain of labels for a given input sentence, which significantly benefits the final performance of the neural network model."
End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,How is the final BLSTM-CNNs-CRF model structured?,It uses CNN to model character-level information.,"For each word, the character-level representation is computed by the CNN with character embeddings as inputs. This character-level representation vector is concatenated with the word embedding vector and fed into the BLSTM network. Finally, the output vectors of BLSTM are fed to the CRF layer to jointly decode the best label sequence, with dropout layers applied on both the input and output vectors of BLSTM."
Extracting a Knowledge Base of Mechanisms from COVID-19 Papers,"What is the unified mechanism relation schema proposed in the paper, and what are its key properties?","The unified mechanism relation schema proposed in the paper consists of a relation (E1, E2, class) between entities E1 and E2, where each entity E is a text span and the class indicates the type of the mechanism relation. The three key properties of this schema are: (1) it uses a generalized concept of mechanism relations; (2) it includes flexible, generic entities not limited to pre-defined types; and (3) it is simple enough for human annotators and models to identify in the natural language of scientific texts.","The schema is defined as a relation (E1, E2, class) between entities E1 and E2, where each entity is a text span and the class indicates the type of the mechanism relation. Its three key properties are: (1) it uses a generalized concept of mechanism relations, capturing and extending existing types of mechanisms; (2) it includes flexible, generic entities not limited to predefined types; and (3) it is simple enough for human annotators and models to identify in scientific texts."
Extracting a Knowledge Base of Mechanisms from COVID-19 Papers,How are mechanisms categorized in the proposed schema?,"Mechanisms are categorized as relations (E1, E2, class) between entities E1 and E2, where each entity E is a text span and the class indicates the type of the mechanism relation.","Mechanisms are categorized into two coarse-grained classes: Direct mechanisms, which include activities of a mechanistic nature or explicit functions (e.g., a virus binding to a cell or a drug being used for treatment), and Indirect mechanisms, which include influences or associations without explicit mechanistic information (e.g., COVID-19 may lead to economic impacts)."
Extracting a Knowledge Base of Mechanisms from COVID-19 Papers,What process was followed to construct the MECHANIC dataset of mechanism annotations?,"A three-stage process of (1) annotating entities and relations using biomedical experts, (2) unifying span boundaries with an NLP expert, and (3) verifying annotations with a bio-NLP expert.","The dataset was constructed through a three-stage process: (1) biomedical experts annotated entities and relations as direct or indirect mechanisms; (2) an NLP expert unified annotation span boundaries for consistency; and (3) a bio-NLP expert verified and corrected annotations. This resulted in 2,370 relation instances (1,645 direct, 725 indirect) from 1,000 sentences in 250 abstracts."
Extracting a Knowledge Base of Mechanisms from COVID-19 Papers,"Which model was used for extracting mechanism relations, and how was it applied to build the KB?",A DyGIE model trained on MECHANIC.,"The DyGIE++ model with SciBERT embeddings was trained on MECHANIC to jointly extract entities and classify relations as {DIRECT, INDIRECT}. It was then applied to 160K abstracts in the CORD-19 corpus, extracting and filtering mechanism relations with high confidence to construct the COMB knowledge base, which contains 1.5M relations."
Extracting a Knowledge Base of Mechanisms from COVID-19 Papers,How does the semantic relation search over COMB work?,It replaces the variable with each answer string representation and returns their union.,"For a given query (Eanswer, Equestion, class), entity spans are encoded into a vector space using a fine-tuned language model. Relations in COMB are ranked by the minimum similarity between query and candidate entity encodings, with the class used to filter relation types. An index of 900K unique entity surface forms is stored using FAISS for fast similarity-based search."
SPECTER: Document-level Representation Learning using Citation-informed Transformers,What is the main contribution of SPECTER as proposed in the paper?,"SPECTER is a model for learning representations of scientific papers, based on a Transformer language model that is pretrained on citations.","SPECTER is a new method to generate document-level embeddings of scientific documents by pretraining a Transformer language model on the citation graph as a signal of document-level relatedness. Unlike existing pretrained language models, SPECTER can be easily applied to downstream applications without task-specific fine-tuning."
SPECTER: Document-level Representation Learning using Citation-informed Transformers,Why are existing Transformer language models like BERT limited for document-level representation learning?,They only consider a fixed-size window of context.,"Existing models such as BERT are primarily based on masked language modeling objectives, which only consider intra-document context and do not leverage inter-document information, thereby limiting their ability to learn optimal document-level representations."
SPECTER: Document-level Representation Learning using Citation-informed Transformers,How does SPECTER use citations to improve representation learning?,"SPECTER uses citations as an inter-document incidental supervision signal, formulating it into a triplet-loss pretraining objective.","SPECTER formulates citation information as a triplet loss learning objective, where the model is pretrained on a large corpus of citations, encouraging it to output representations that are more similar for papers that share a citation link than for those that do not."
SPECTER: Document-level Representation Learning using Citation-informed Transformers,What is SCIDOCS and why was it introduced?,SCIDOCS is an evaluation benchmark that includes an anonymized clickthrough dataset from an online recommendations system. It was introduced to address the challenge of a lack of publicly available datasets in academic paper recommendation research.,"SCIDOCS is a new evaluation benchmark consisting of seven document-level tasks, ranging from citation prediction to document classification and recommendation. It was introduced to encourage further research on document-level models and to evaluate the effectiveness of approaches like SPECTER."
SPECTER: Document-level Representation Learning using Citation-informed Transformers,What directions for future work are suggested in the paper?,None.,"The paper suggests future work in initializing model weights from newer Transformer models, developing multitask approaches to leverage multiple signals of relatedness beyond citations, exploring bibliometrics-based relatedness metrics, and incorporating additional inputs such as outgoing citations."
TDMSci: A Specialized Corpus for Scientific Literature Entity Tagging of Tasks Datasets and Metrics,What is the main contribution of the paper?,Extracting Keyphrases and Relations from Scientific Publications.,"The paper presents a new corpus (TDMSci) containing expert annotations for Task (T), Dataset (D), and Metric (M) entities on 2,000 sentences extracted from NLP papers. The authors also develop a TDM tagger using a data augmentation strategy and apply it to around 30,000 NLP papers from the ACL Anthology."
TDMSci: A Specialized Corpus for Scientific Literature Entity Tagging of Tasks Datasets and Metrics,How is the TDM entity extraction task modeled in this study?,"As extracting {task, dataset, metric} triples from NLP papers based on a small, manually created task/dataset/metric (TDM) taxonomy.","The TDM entity extraction task is modeled as a sequence tagging problem. The authors apply a CRF model with lexical features, a BiLSTM-CRF model using the Flair framework, and adapt the SciIE model (Luan et al., 2018) for TDM entity extraction."
TDMSci: A Specialized Corpus for Scientific Literature Entity Tagging of Tasks Datasets and Metrics,What features are used in the CRF model for TDM extraction?,Lexical features.,"The CRF model uses features such as unigrams of the previous, current, and next words, current word character n-grams, current POS tag, surrounding POS tag sequence, current word shape, and surrounding word shape sequence."
TDMSci: A Specialized Corpus for Scientific Literature Entity Tagging of Tasks Datasets and Metrics,What is the purpose of the proposed data augmentation strategy?,There is no mention of a proposed data augmentation strategy in the given text.,"The data augmentation strategy is designed to improve TDM entity extraction by generating additional masked training data. It replaces every token within an annotated TDM entity with UNK, leveraging the importance of surrounding context in identifying entities."
TDMSci: A Specialized Corpus for Scientific Literature Entity Tagging of Tasks Datasets and Metrics,What is the significance of the TDMSci corpus and TDM tagger?,"The TDMSci corpus provides domain expert annotations for Task, Dataset, and Metric entities in scientific literature, while the TDM tagger can be used to extract these entities from large volumes of text, such as 30,000 NLP papers from the ACL Anthology.","The TDMSci corpus and TDM tagger enable the extraction of essential scientific information (Task, Dataset, Metric) from NLP papers. Experiments on 30,000 NLP papers demonstrate that they can help build TDM knowledge resources for the NLP domain."
Falcon 2.0: An Entity and Relation Linking Tool over Wikidata,What is Falcon 2.0 and what does it achieve?,"Falcon 2.0 is an entity and relation linking tool over Wikidata, achieving new baselines in relation linking performance on two datasets: SimpleQuestion and LC-QuAD 2.0.","Falcon 2.0 is the first joint entity and relation linking tool over Wikidata. It receives a short natural language text in English and outputs a ranked list of entities and relations annotated with the proper candidates in Wikidata, represented by their Internationalized Resource Identifier (IRI)."
Falcon 2.0: An Entity and Relation Linking Tool over Wikidata,What are the main components of the Falcon 2.0 architecture?,Entity linker and relation linker,"Falcon 2.0 comprises several modules including POS Tagging, Tokenization & Compounding, N-Gram Tiling, Candidate List Generation, Matching & Ranking, Query Classifier, and N-Gram Splitting. It also relies on a background knowledge base combining Wikidata labels and aliases, alignments stored in a text search engine, and rules maintained in a catalog for English morphology."
Falcon 2.0: An Entity and Relation Linking Tool over Wikidata,What role does the catalog of rules play in Falcon 2.0?,"It is used to extract entities and relations from the text, based on English morphological principles.","The catalog of rules, based on English morphological principles, guides entity and relation extraction. For example, verbs are excluded from entity candidates, stopwords between entities are ignored to treat them as one entity, and question headwords like 'When' and 'Where' are used to resolve relation ambiguities."
Falcon 2.0: An Entity and Relation Linking Tool over Wikidata,How does Falcon 2.0 perform the recognition phase?,"Falcon 2.0 performs the recognition phase through three modules: POS tagging, tokenization & compounding, and N-Gram tiling.","The recognition phase includes POS Tagging, Tokenization & Compounding, and N-Gram Tiling. POS Tagging identifies word types such as nouns and verbs. Tokenization & Compounding removes stopwords and separates verbs from nouns, while N-Gram Tiling combines tokens separated only by stopwords, producing candidate surface forms for entities and relations."
Falcon 2.0: An Entity and Relation Linking Tool over Wikidata,How does Falcon 2.0 handle candidate linking and ranking?,"Falcon 2.0 handles candidate linking and ranking through four modules: candidate list generation, matching & ranking, relevant rule selection, and n-gram splitting.","In the linking phase, Candidate List Generation queries the text search engine for each token, producing candidate lists. Matching & Ranking checks candidate triples against Wikidata with ASK queries, ranking entities and relations accordingly. Relevant Rule Selection adjusts rankings based on catalog rules, and N-Gram Splitting addresses cases where compounding incorrectly merged separate entities."
Deep Reinforcement Learning for Mention-Ranking Coreference Models,What problem does this paper address?,Detecting Clarification Requirements in Instructional Text.,The paper addresses the reliance on heuristic loss functions for training coreference resolution models and proposes reinforcement learning to directly optimize for evaluation metrics.
Deep Reinforcement Learning for Mention-Ranking Coreference Models,What baseline model do the authors build on?,"A simple logistic regression classifier that makes use of uni-grams, bi-grams and sentence length as features.","They build on the neural mention-ranking model by Clark and Manning (2016), which scores mention-antecedent pairs using a feedforward neural network."
Deep Reinforcement Learning for Mention-Ranking Coreference Models,Why are heuristic loss functions limited?,"Heuristic loss functions are limited because they do not capture the full complexity of the problem, relying instead on approximations or simplifications that may not always hold true.",They require extensive hyperparameter tuning to balance error types and only indirectly optimize for coreference evaluation metrics.
Deep Reinforcement Learning for Mention-Ranking Coreference Models,How does reinforcement learning improve coreference resolution?,"Reinforcement learning improves coreference resolution by directly optimizing a neural mention-ranking model for coreference evaluation metrics, rather than relying on heuristic loss functions that require careful tuning of hyperparameters.","It treats coreference decisions as actions, uses evaluation metrics as rewards, and directly optimizes the model to improve accuracy without tuned hyperparameters."
Deep Reinforcement Learning for Mention-Ranking Coreference Models,What are the main results of this approach?,"The main results of this approach include the ability to answer complex questions by composing functions such as COMP, CONJ, and ADD, which allow for operations like union, intersection, and addition. Additionally, the approach can handle superlative and comparative questions using S IMP QA directly.","The reinforcement learning approach, especially reward rescaling, achieves significant improvements over the state of the art on English and Chinese CoNLL 2012 tasks."
AxCell: Automatic Extraction of Results from Machine Learning Papers,What is AXCELL and what problem does it solve?,"AXCELL is a pipeline for automatic extraction of results from machine learning papers. It solves the problem of laborious and error-prone human annotation of results, which can lead to omission or misreporting of paper results.","AXCELL is an automatic machine learning pipeline for extracting structured results from research papers. It addresses the challenge of tracking ML progress by reliably extracting tuples of the form (task, dataset, metric, value) from tables in papers."
AxCell: Automatic Extraction of Results from Machine Learning Papers,What are the key subtasks in the AXCELL pipeline?,"Table type classification, table segmentation, and linking results to leaderboards.","The pipeline includes: (i) table type classification (leaderboard, ablation, irrelevant), (ii) table segmentation (classifying table cells), (iii) cell context generation, (iv) linking results to leaderboards, and (v) filtering results to keep the best entries."
AxCell: Automatic Extraction of Results from Machine Learning Papers,How does AXCELL perform table type classification?,"AXCELL performs table type classification using a model trained with features such as ""is emphasised"", ""cell style"", ""text mentions"", ""cell content"", ""row context"", ""column context"", and ""cell reference"". The model is trained for 10 epochs and the best micro F1 score on the validation set is used.","It uses a ULMFiT-based classifier with LSTM layers and SentencePiece tokenization to categorize tables as leaderboard, ablation, or irrelevant, trained on a large dataset of segmented tables."
AxCell: Automatic Extraction of Results from Machine Learning Papers,How does AXCELL link numeric values to leaderboards?,"AXCELL links numeric values to leaderboards through results tuples, which capture the performance of models in papers. Each results tuple (task, dataset, metric name, metric value) is linked to a particular table, row, and cell it originates from.","AXCELL collects contextual evidence from table structure and paper text, then applies a generative probabilistic model to associate metric values with leaderboards defined by task, dataset, and metric."
AxCell: Automatic Extraction of Results from Machine Learning Papers,What are the main contributions and results of the paper?,"The main contributions and results of the paper include:

* The participating systems performed substantially better than both baselines (random baseline and logistic regression classifier) on the test set, with accuracy ranging from 66.4% to 68.8%.
* The best participating system was able to identify over 90% of cases that require replacements of pronouns and replacements of occurrences of 'do' as a main verb.
* The results suggest that it is generally possible to predict whether a sentence requires clarification, and models can pick up reliable patterns for most types of revision.","The paper introduces AXCELL, releases new datasets for training and evaluation, and demonstrates significant performance improvements over the state of the art in results extraction. The pipeline also makes semi-automated extraction practically viable."
